date,Account,daily_pnl,num_trades,wins,avg_trade_size,total_volume,long_count,win_rate,long_ratio,fg_score,sentiment,sentiment_group
2024-03-09,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,9943.085484,116,96,5672.114827586208,657965.3200000001,82,0.8275862068965517,0.7068965517241379,84,Extreme Greed,Greed
2024-03-10,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2149.3962,40,27,5312.6365,212505.46,36,0.675,0.9,79,Extreme Greed,Greed
2024-03-11,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3588.179495,42,39,4202.844047619047,176519.44999999998,12,0.9285714285714286,0.2857142857142857,82,Extreme Greed,Greed
2024-03-12,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3039.166,8,7,12880.10625,103040.85,1,0.875,0.125,81,Extreme Greed,Greed
2024-03-13,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,7,0,857.2571428571428,6000.799999999999,7,0.0,1.0,81,Extreme Greed,Greed
2024-03-14,0x4f93fead39b70a1824f981a54d4e55b278e9f760,65.480454,1,1,6066.28,6066.28,0,1.0,0.0,88,Extreme Greed,Greed
2024-03-14,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,3400.385378,17,15,11756.876470588235,199866.9,2,0.8823529411764706,0.11764705882352941,88,Extreme Greed,Greed
2024-03-15,0x4f93fead39b70a1824f981a54d4e55b278e9f760,338.42832,8,1,3292.47625,26339.81,7,0.125,0.875,83,Extreme Greed,Greed
2024-03-15,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,5509.2545,35,32,7132.707714285714,249644.77,13,0.9142857142857143,0.37142857142857144,83,Extreme Greed,Greed
2024-03-15,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,388.830831,19,8,3995.254210526316,75909.83,6,0.42105263157894735,0.3157894736842105,83,Extreme Greed,Greed
2024-03-16,0x4f93fead39b70a1824f981a54d4e55b278e9f760,228.57984,6,1,4537.276666666667,27223.66,5,0.16666666666666666,0.8333333333333334,81,Extreme Greed,Greed
2024-03-16,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,5000.0,10000.0,0,0.0,0.0,81,Extreme Greed,Greed
2024-03-17,0x4f93fead39b70a1824f981a54d4e55b278e9f760,429.683075,14,4,6218.810714285714,87063.35,10,0.2857142857142857,0.7142857142857143,79,Extreme Greed,Greed
2024-03-17,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,73.61088,7,6,705.8557142857143,4940.99,6,0.8571428571428571,0.8571428571428571,79,Extreme Greed,Greed
2024-03-17,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,0.0,2,0,3751.305,7502.61,2,0.0,1.0,79,Extreme Greed,Greed
2024-03-18,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,12,0,2833.491666666667,34001.9,12,0.0,1.0,77,Extreme Greed,Greed
2024-03-18,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1244.6384,6,5,8540.285,51241.71,1,0.8333333333333334,0.16666666666666666,77,Extreme Greed,Greed
2024-03-18,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,212.3193,1,1,5214.47,5214.47,0,1.0,0.0,77,Extreme Greed,Greed
2024-03-19,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,4,0,2266.8775,9067.51,4,0.0,1.0,79,Extreme Greed,Greed
2024-03-19,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,842.799493,10,5,18098.891,180988.91,5,0.5,0.5,79,Extreme Greed,Greed
2024-03-19,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,-174.00152,10,0,2982.842,29828.420000000002,8,0.0,0.8,79,Extreme Greed,Greed
2024-03-20,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2588.103623,58,55,2486.453620689655,144214.31,23,0.9482758620689655,0.39655172413793105,74,Greed,Greed
2024-03-20,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,3829.986976,10,4,7134.341,71343.41,6,0.4,0.6,74,Greed,Greed
2024-03-21,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,1,0,9744.18,9744.18,1,0.0,1.0,78,Extreme Greed,Greed
2024-03-21,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2097.182,23,22,4256.877391304348,97908.18,22,0.9565217391304348,0.9565217391304348,78,Extreme Greed,Greed
2024-03-21,0xb1231a4a2dd02f2276fa3c5e2a2f3436e6bfed23,238.326075,4,1,2560.8025000000002,10243.210000000001,3,0.25,0.75,78,Extreme Greed,Greed
2024-03-24,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1297.018477,19,15,4873.274210526315,92592.20999999999,15,0.7894736842105263,0.7894736842105263,74,Greed,Greed
2024-03-25,0x4f93fead39b70a1824f981a54d4e55b278e9f760,1302.916428,7,6,8159.4742857142855,57116.32,0,0.8571428571428571,0.0,75,Extreme Greed,Greed
2024-03-26,0x4f93fead39b70a1824f981a54d4e55b278e9f760,20.599193,7,1,3426.62,23986.34,6,0.14285714285714285,0.8571428571428571,81,Extreme Greed,Greed
2024-03-26,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,2947.52652,102,100,1643.3801960784313,167624.78,2,0.9803921568627451,0.0196078431372549,81,Extreme Greed,Greed
2024-03-27,0x4f93fead39b70a1824f981a54d4e55b278e9f760,189.192,27,12,3224.6703703703706,87066.1,12,0.4444444444444444,0.4444444444444444,83,Extreme Greed,Greed
2024-03-27,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,-38.78086,11,0,1163.5172727272727,12798.689999999999,7,0.0,0.6363636363636364,83,Extreme Greed,Greed
2024-03-28,0x4f93fead39b70a1824f981a54d4e55b278e9f760,0.0,3,0,6671.296666666666,20013.89,3,0.0,1.0,80,Extreme Greed,Greed
2024-03-28,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,227.85100799999998,10,9,1530.983,15309.83,9,0.9,0.9,80,Extreme Greed,Greed
2024-03-29,0x4f93fead39b70a1824f981a54d4e55b278e9f760,883.097404,15,6,5794.291333333333,86914.37,9,0.4,0.6,79,Extreme Greed,Greed
2024-03-30,0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,1100.57514,45,44,2246.753777777778,101103.92,1,0.9777777777777777,0.022222222222222223,75,Extreme Greed,Greed
